mlb_season_standings_2002,Tm,textual,baseball.team.name
mlb_season_standings_2002,W,numerical,baseball.team.wins
mlb_season_standings_2002,L,numerical,baseball.team.losses
mlb_season_standings_2002,W-L%,numerical,baseball.team.win_loss_percentage
mlb_season_standings_2002,GB,numerical,baseball.team.games_behind
mlb_season_team_pitching_stats_2001,Tm,textual,baseball.team.name
mlb_season_team_pitching_stats_2001,#P,numerical,baseball.team.number_of_players
mlb_season_team_pitching_stats_2001,PAge,numerical,baseball.team.average_age
mlb_season_team_pitching_stats_2001,RA/G,numerical,baseball.team.runs_allowed_per_game
mlb_season_team_pitching_stats_2001,W,numerical,baseball.team.wins
mlb_season_team_pitching_stats_2001,L,numerical,baseball.team.losses
mlb_season_team_pitching_stats_2001,W-L%,numerical,baseball.team.win_loss_percentage
mlb_season_team_pitching_stats_2001,ERA,numerical,baseball.team.era
mlb_season_team_pitching_stats_2001,G,numerical,baseball.team.games_played
mlb_season_team_pitching_stats_2001,GS,numerical,baseball.team.games_started
mlb_season_team_pitching_stats_2001,GF,numerical,baseball.team.games_finished
mlb_season_team_pitching_stats_2001,CG,numerical,baseball.team.complete_game
mlb_season_team_pitching_stats_2001,tSho,numerical,baseball.team.shutouts_by_team
mlb_season_team_pitching_stats_2001,cSho,numerical,baseball.team.shutouts
mlb_season_team_pitching_stats_2001,SV,numerical,baseball.team.saves
mlb_season_team_pitching_stats_2001,IP,numerical,baseball.team.innings_pitched
mlb_season_team_pitching_stats_2001,H,numerical,baseball.team.hits
mlb_season_team_pitching_stats_2001,R,numerical,baseball.team.runs
mlb_season_team_pitching_stats_2001,ER,numerical,baseball.team.earned_runs
mlb_season_team_pitching_stats_2001,HR,numerical,baseball.team.home_runs
mlb_season_team_pitching_stats_2001,BB,numerical,baseball.team.bases_on_balls
mlb_season_team_pitching_stats_2001,IBB,numerical,baseball.team.intentional_bases_on_balls
mlb_season_team_pitching_stats_2001,SO,numerical,baseball.team.strikeouts
mlb_season_team_pitching_stats_2001,HBP,numerical,baseball.team.hit_by_pitch
mlb_season_team_pitching_stats_2001,BK,numerical,baseball.team.balks
mlb_season_team_pitching_stats_2001,WP,numerical,baseball.team.wild_pitches
mlb_season_team_pitching_stats_2001,BF,numerical,baseball.team.batters_faced
mlb_season_team_pitching_stats_2001,ERA+,numerical,baseball.team.era+
mlb_season_team_pitching_stats_2001,FIP,numerical,baseball.team.fip
mlb_season_team_pitching_stats_2001,WHIP,numerical,baseball.team.whip
mlb_season_team_pitching_stats_2001,H9,numerical,baseball.team.h9
mlb_season_team_pitching_stats_2001,HR9,numerical,baseball.team.hr9
mlb_season_team_pitching_stats_2001,BB9,numerical,baseball.team.bb9
mlb_season_team_pitching_stats_2001,SO9,numerical,baseball.team.so9
mlb_season_team_pitching_stats_2001,SO/W,numerical,baseball.team.so/w
mlb_season_team_pitching_stats_2001,LOB,numerical,baseball.team.runners_left_on_base
mlb_season_team_batting_stats_2019,Tm,textual,baseball.team.name
mlb_season_team_batting_stats_2019,#Bat,numerical,baseball.team.number_of_players
mlb_season_team_batting_stats_2019,BatAge,numerical,baseball.team.average_age
mlb_season_team_batting_stats_2019,R/G,numerical,baseball.team.runs_scored_per_game
mlb_season_team_batting_stats_2019,G,numerical,baseball.team.games_played
mlb_season_team_batting_stats_2019,PA,numerical,baseball.team.plate_appearances
mlb_season_team_batting_stats_2019,AB,numerical,baseball.team.at_bats
mlb_season_team_batting_stats_2019,R,numerical,baseball.team.runs
mlb_season_team_batting_stats_2019,H,numerical,baseball.team.hits
mlb_season_team_batting_stats_2019,2B,numerical,baseball.team.doubles
mlb_season_team_batting_stats_2019,3B,numerical,baseball.team.triples
mlb_season_team_batting_stats_2019,HR,numerical,baseball.team.home_runs
mlb_season_team_batting_stats_2019,RBI,numerical,baseball.team.runs_batted_in
mlb_season_team_batting_stats_2019,SB,numerical,baseball.team.stolen_bases
mlb_season_team_batting_stats_2019,CS,numerical,baseball.team.cauught_stealing
mlb_season_team_batting_stats_2019,BB,numerical,baseball.team.bases_on_balls
mlb_season_team_batting_stats_2019,SO,numerical,baseball.team.strikeouts
mlb_season_team_batting_stats_2019,BA,numerical,baseball.team.total_ba
mlb_season_team_batting_stats_2019,OBP,numerical,baseball.team.obp
mlb_season_team_batting_stats_2019,SLG,numerical,baseball.team.slg
mlb_season_team_batting_stats_2019,OPS,numerical,baseball.team.ops
mlb_season_team_batting_stats_2019,OPS+,numerical,baseball.team.ops+
mlb_season_team_batting_stats_2019,TB,numerical,baseball.team.total_bases
mlb_season_team_batting_stats_2019,GDP,numerical,baseball.team.grounded_double_plays
mlb_season_team_batting_stats_2019,HBP,numerical,baseball.team.hit_by_pitch
mlb_season_team_batting_stats_2019,SH,numerical,baseball.team.sacrifice_hits
mlb_season_team_batting_stats_2019,SF,numerical,baseball.team.sacrifice_flies
mlb_season_team_batting_stats_2019,IBB,numerical,baseball.team.intentional_bases_on_balls
mlb_season_team_batting_stats_2019,LOB,numerical,baseball.team.runners_left_on_base
mlb_season_team_pitching_stats_1997,Tm,textual,baseball.team.name
mlb_season_team_pitching_stats_1997,#P,numerical,baseball.team.number_of_players
mlb_season_team_pitching_stats_1997,PAge,numerical,baseball.team.average_age
mlb_season_team_pitching_stats_1997,RA/G,numerical,baseball.team.runs_allowed_per_game
mlb_season_team_pitching_stats_1997,W,numerical,baseball.team.wins
mlb_season_team_pitching_stats_1997,L,numerical,baseball.team.losses
mlb_season_team_pitching_stats_1997,W-L%,numerical,baseball.team.win_loss_percentage
mlb_season_team_pitching_stats_1997,ERA,numerical,baseball.team.era
mlb_season_team_pitching_stats_1997,G,numerical,baseball.team.games_played
mlb_season_team_pitching_stats_1997,GS,numerical,baseball.team.games_started
